Age,AnnualIncome,SpendingScore,OnlineShoppingFrequency,CreditCardUsage,CustomerValueScore,CustomerID,Gender
74,120013,33.0,6,13.97,33.584102925781075,1,Female
24,29997,57.0,1,9.18,17.278558534222572,2,Female
58,120005,14.0,8,32.2,42.867957055182856,3,Female
20,29991,48.0,7,3.56,31.95936694728642,4,Female
59,119983,27.0,1,6.25,42.510361368185315,5,Female
34,70006,64.0,1,1.21,59.208241130684314,6,Male
22,30000,51.0,6,3.34,16.950893916363505,7,Male
48,69992,72.0,8,8.08,56.33057563303886,8,Male
29,69997,73.0,7,6.31,45.14268206315191,9,Male
22,30000,46.0,1,5.37,27.90687984585717,10,Female
35,70009,65.0,10,3.5,58.30112011810549,11,Female
60,120006,52.0,10,10.51,37.301852993920335,12,Female
19,29993,50.0,4,0.91,19.582946326267194,13,Male
65,119989,24.0,1,3.41,39.859403766636156,14,Male
46,69998,78.0,10,1.07,46.3763432836954,15,Female
31,29998,50.0,1,3.59,23.049062599373762,16,Female
58,120005,29.0,2,10.91,51.75320486531408,17,Male
50,119986,36.0,10,10.45,46.99787635077404,18,Female
19,29997,60.0,3,9.16,17.65669745260101,19,Female
55,119991,24.0,10,8.42,26.472189917019293,20,Female
29,70007,76.0,10,5.42,64.62913778994786,21,Male
24,29999,49.0,2,4.09,20.330705575745007,22,Female
62,120024,21.0,10,9.18,43.428938335315856,23,Female
39,69999,66.0,5,0.56,41.197989600184115,24,Female
71,120005,26.0,1,1.01,43.446145968198294,25,Male
59,69995,75.0,2,1.79,49.34760710222722,26,Female
52,119999,45.0,10,18.79,24.609419238504614,27,Female
30,30005,47.0,2,2.2,23.494078351402383,28,Male
39,70003,71.0,1,4.38,39.60257158135707,29,Male
24,29997,53.0,1,7.62,13.496440997040086,30,Female
73,120009,34.0,1,2.49,32.98146582649511,31,Female
72,120007,23.0,1,13.88,28.99494593191854,32,Male
40,69976,90.0,2,1.39,63.372893541282934,33,Male
32,29998,53.0,3,4.44,23.79569599460055,34,Female
80,120004,50.0,1,6.42,52.42047922725256,35,Male
59,119996,39.0,10,15.11,36.7659349415014,36,Female
72,120001,21.0,1,9.42,58.0879003603892,37,Female
40,69993,77.0,5,9.79,54.054615291022536,38,Male
40,70007,69.0,1,9.16,45.34156283861237,39,Female
39,69996,66.0,5,2.6,43.48855111522145,40,Female
