Date,Passengers,Diff1,Diff2,log,log_diff,Lag_1,Lag_2,Lag_3,Lag_12,Lag_24,Lag_36
1949-01-01,112.0,,,4.718498871295094,,0.0,0.0,0.0,0.0,0.0,0.0
1949-02-01,118.0,6.0,,4.770684624465665,0.0521857531705709,112.0,0.0,0.0,0.0,0.0,0.0
1949-03-01,132.0,14.0,8.0,4.882801922586371,0.1121172981207054,118.0,112.0,0.0,0.0,0.0,0.0
1949-04-01,129.0,-3.0,-17.0,4.859812404361672,-0.0229895182246986,132.0,118.0,112.0,0.0,0.0,0.0
1949-05-01,121.0,-8.0,-5.0,4.795790545596741,-0.0640218587649306,129.0,132.0,118.0,0.0,0.0,0.0
1949-06-01,135.0,14.0,22.0,4.90527477843843,0.1094842328416882,121.0,129.0,132.0,0.0,0.0,0.0
1949-07-01,148.0,13.0,-1.0,4.997212273764115,0.091937495325685,135.0,121.0,129.0,0.0,0.0,0.0
1949-08-01,148.0,0.0,-13.0,4.997212273764115,0.0,148.0,135.0,121.0,0.0,0.0,0.0
1949-09-01,136.0,-12.0,-12.0,4.912654885736052,-0.0845573880280623,148.0,148.0,135.0,0.0,0.0,0.0
1949-10-01,119.0,-17.0,-5.0,4.77912349311153,-0.1335313926245227,136.0,148.0,148.0,0.0,0.0,0.0
1949-11-01,104.0,-15.0,2.0,4.6443908991413725,-0.1347325939701571,119.0,136.0,148.0,0.0,0.0,0.0
1949-12-01,104.0,0.0,15.0,4.6443908991413725,0.0,104.0,119.0,136.0,0.0,0.0,0.0
1950-01-01,104.0,0.0,0.0,4.6443908991413725,0.0,104.0,104.0,119.0,112.0,0.0,0.0
1950-02-01,126.0,22.0,22.0,4.836281906951478,0.1918910078101054,104.0,104.0,104.0,118.0,0.0,0.0
1950-03-01,141.0,15.0,-7.0,4.948759890378168,0.1124779834266904,126.0,104.0,104.0,132.0,0.0,0.0
1950-04-01,135.0,-6.0,-21.0,4.90527477843843,-0.0434851119397388,141.0,126.0,104.0,129.0,0.0,0.0
1950-05-01,125.0,-10.0,-4.0,4.8283137373023015,-0.0769610411361281,135.0,141.0,126.0,121.0,0.0,0.0
1950-06-01,149.0,24.0,34.0,5.003946305945459,0.1756325686431576,125.0,135.0,141.0,135.0,0.0,0.0
1950-07-01,149.0,0.0,-24.0,5.003946305945459,0.0,149.0,125.0,135.0,148.0,0.0,0.0
1950-08-01,149.0,0.0,0.0,5.003946305945459,0.0,149.0,149.0,125.0,148.0,0.0,0.0
1950-09-01,158.0,9.0,9.0,5.062595033026967,0.0586487270815077,149.0,149.0,149.0,136.0,0.0,0.0
1950-10-01,133.0,-25.0,-34.0,4.890349128221754,-0.1722459048052131,158.0,149.0,149.0,119.0,0.0,0.0
1950-11-01,114.0,-19.0,6.0,4.736198448394496,-0.154150679827258,133.0,158.0,149.0,104.0,0.0,0.0
1950-12-01,140.0,26.0,45.0,4.941642422609304,0.2054439742148082,114.0,133.0,158.0,104.0,0.0,0.0
