education_level,experience_years,hours_per_week,age,gender,marital_status,location_index,income
18,11,53,61,0,1,0,64007.91064747059
15,12,36,37,0,1,4,57575.41985321355
19,35,29,27,1,1,3,104629.07872777605
16,38,37,26,0,0,3,100476.77815105757
18,33,27,56,0,1,2,92752.11987455968
14,5,45,58,1,1,3,53001.3315978703
18,37,22,42,0,0,3,98459.81677619813
19,39,43,42,1,0,1,102457.04236472615
16,7,22,41,1,0,2,44197.56732760219
15,7,57,23,0,1,3,57946.77843514091
19,39,21,47,0,1,1,109935.98281294166
19,32,54,27,1,1,2,95447.54375887272
14,33,36,56,0,1,1,86362.72599911943
17,14,28,48,1,1,0,61969.15421307718
16,35,55,35,0,1,4,86573.45438286987
13,34,41,60,0,0,4,88150.3152802609
19,21,50,50,1,1,4,72094.81741469036
17,22,53,36,1,1,3,72876.78007984711
13,39,43,40,0,0,4,94734.11532494747
16,21,28,22,0,1,4,75420.96571306896
12,4,21,43,1,0,2,29572.674279552783
17,30,40,46,0,0,2,87273.02532248314
20,12,53,41,0,0,2,67618.42276765499
12,27,46,23,0,0,3,72221.93802785673
14,19,56,56,1,1,4,72524.66815777206
18,32,26,21,0,1,3,94732.99422082501
15,15,41,59,0,1,3,64140.743017353445
20,28,23,43,0,1,3,98034.50706928599
14,22,33,32,1,1,3,69368.2559638523
16,23,53,30,1,1,3,72715.36766548028
14,33,42,57,0,0,3,97418.40336948485
18,6,44,39,1,0,4,68543.17907582078
16,37,20,30,1,0,2,97294.90454860865
20,36,34,56,0,0,1,91177.37902433326
18,3,51,34,0,0,1,50343.19366048191
13,33,33,53,1,1,1,81770.68417549983
15,21,40,56,0,1,0,77914.97429664285
20,4,26,42,0,0,2,53301.642438502626
13,22,55,51,0,0,4,67982.12363467409
20,14,40,38,0,1,3,72336.94271186556
16,30,59,42,1,1,1,94907.66184124397
13,8,31,42,1,1,2,43285.55430961325
15,24,34,39,0,1,4,79694.36299355305
18,24,34,40,0,1,1,70353.77668019263
19,20,36,42,1,0,2,76928.43075860238
14,8,53,31,0,0,4,43686.88355744271
12,37,54,31,0,0,2,84534.66299305978
15,21,58,43,0,1,3,79298.1983903428
13,22,57,57,1,0,2,69905.60907744376
19,3,33,47,0,0,2,47317.035534295486
15,28,24,43,0,0,0,83698.75926703944
13,14,49,55,0,1,3,61792.50374636217
17,0,23,39,0,1,2,31949.187814176104
17,29,34,56,0,1,3,87630.19982164906
15,28,58,56,1,1,2,85492.43885924031
17,19,54,51,0,0,3,77984.45676839468
13,32,29,42,1,0,4,82642.20514617045
13,35,21,53,1,1,1,96752.4120738338
15,21,43,30,0,1,0,70138.96737079325
19,12,47,46,0,1,1,57673.911403971506
18,6,41,59,0,0,2,53354.189700302624
20,7,51,26,0,1,2,65015.39418529583
19,27,50,32,0,0,4,87382.67439275637
16,8,38,48,0,1,2,54084.66805479317
13,24,40,61,0,1,3,73307.05739891424
16,15,22,44,0,1,1,49252.02090175982
19,9,25,48,0,0,2,57204.33769180612
20,10,51,27,0,1,4,63285.70265717229
20,30,21,54,1,0,0,100673.78800012829
12,11,43,24,0,0,1,54053.25329936083
20,30,46,49,0,1,4,90900.24108227863
18,13,28,28,0,0,4,55896.67786825196
20,31,32,62,1,1,1,100440.21357736457
19,16,33,45,1,1,4,73250.70452678819
12,34,30,21,1,1,0,82034.68516677753
19,0,33,62,0,1,0,40948.89972630911
19,28,35,48,1,0,2,89415.82790222703
14,3,29,46,0,0,3,37741.329579427635
12,22,39,50,0,1,2,61116.333094883514
19,27,35,21,1,1,3,85540.24464973896
14,15,53,64,0,0,1,60706.59050192452
14,11,35,43,1,0,4,49089.94966958696
12,20,33,48,1,0,2,61613.58087700081
16,16,47,48,1,0,4,64834.83955465446
18,39,37,44,0,1,2,102637.86532591304
20,12,45,42,0,0,2,65182.504759425094
18,31,57,53,0,0,0,100778.13285183563
20,36,26,48,0,1,3,104191.97056746099
19,14,53,60,1,1,1,68861.32129904536
13,11,26,54,0,0,4,57188.972503556906
12,14,52,62,1,1,2,47573.534756431676
18,33,54,61,0,0,4,101388.97676136163
18,5,58,40,1,1,0,55017.6523081176
19,16,40,52,1,0,1,73329.24625374888
16,19,47,21,0,1,3,66866.18280628862
14,8,51,45,1,0,3,55984.53980528867
19,4,35,59,0,1,2,55854.51323765032
17,22,29,58,0,0,1,79565.3277290601
14,32,42,59,1,1,3,84140.0273366392
12,37,34,30,0,1,1,92057.70894359292
14,13,25,18,1,1,4,53088.60782883612
16,16,52,29,0,1,0,56656.95228233948
14,18,58,60,1,1,1,76950.90831837179
12,32,31,57,1,0,1,85506.50030131712
16,0,55,43,0,1,3,53141.23333382509
18,12,50,63,0,1,2,65841.72786073586
18,26,29,63,1,0,2,90285.706998399
20,5,53,40,0,0,4,65004.124058698304
14,5,29,39,1,1,3,43388.533813279864
18,32,30,45,0,1,3,85170.00618931846
12,29,33,34,1,1,0,77090.62741961132
15,34,22,23,0,0,2,87862.0164330252
15,22,52,31,1,1,3,75916.17576526866
16,9,26,34,0,0,4,53623.936335619124
18,18,23,55,0,0,0,67119.54266296653
18,27,58,22,1,0,2,83414.54831142354
15,22,29,30,1,1,2,74651.01321709559
18,3,34,26,1,1,2,33383.57051275842
14,19,35,61,1,1,0,57854.0442067731
17,18,57,59,1,1,4,66468.8943444266
13,26,23,43,1,0,4,64465.43873952597
20,33,23,30,0,1,3,96085.75994976482
16,3,55,36,0,0,3,49781.64846125425
17,37,46,34,1,1,2,102344.4568496052
15,6,41,33,0,0,1,40346.93418006632
18,6,41,47,1,1,3,47899.33418276029
20,25,36,49,0,1,4,89145.78148619615
18,25,53,31,1,0,2,86243.16724256582
12,18,51,32,1,1,4,65855.41116272158
12,8,25,29,0,1,2,35623.502189843566
20,19,52,54,1,0,0,83159.36979514475
20,15,27,28,0,0,3,70443.30876256438
15,16,55,22,0,0,0,56278.97417038266
20,21,24,28,0,0,3,75105.95169165458
14,12,24,51,0,1,4,51324.31249444691
18,11,29,36,0,1,4,57517.4317499966
17,9,59,43,0,0,1,63023.55977305838
19,0,26,43,0,1,4,49944.317947861615
20,31,31,34,0,1,2,88676.91655890369
16,29,49,48,0,0,1,82680.76478524468
12,7,44,36,0,0,2,46186.12612767892
14,20,47,61,1,1,1,59648.92432171486
19,21,32,37,0,1,2,80554.45005222932
17,17,41,40,0,0,1,77390.73102003301
19,1,37,42,1,0,3,51235.79788835893
20,8,46,45,1,0,3,62382.9505510741
15,2,27,54,1,1,1,34621.406007984
12,25,25,29,1,0,0,55803.1473156749
12,20,30,18,0,0,1,56590.5392870947
15,29,48,19,0,1,0,82780.75988840543
18,27,24,27,0,0,2,81649.35702090144
13,35,26,51,1,0,1,93012.46297913577
14,25,41,49,1,0,0,76365.07884354972
12,33,23,42,0,1,1,76372.30319516973
16,7,51,27,1,1,3,59651.047833311924
12,9,38,18,0,0,3,47798.10500925972
19,13,52,49,1,1,1,60927.691469464386
12,39,20,54,1,0,1,85557.23292254334
12,14,27,29,0,1,4,50864.11290151314
13,16,51,35,0,1,3,69330.03321427006
13,17,49,47,0,0,2,65260.531507035186
17,31,47,30,1,0,1,84146.8963692751
18,37,51,20,1,1,4,118341.65381257577
16,22,44,38,0,1,1,77570.43910625626
12,22,53,59,0,1,3,63685.49650524289
12,34,52,31,0,1,0,81691.57675142259
14,38,32,57,1,0,0,91173.2456419749
13,14,44,27,1,1,3,52958.90928926038
16,23,59,19,0,0,2,81836.59315166567
17,27,58,62,0,0,4,87422.86111942353
18,15,29,54,0,1,1,71567.14292802107
15,15,50,28,1,1,1,61318.8785800925
18,39,30,18,1,1,1,99344.0366290705
19,38,44,43,0,0,4,102653.77123392526
12,5,53,59,1,0,4,45410.91665038903
17,1,39,30,0,1,3,40505.303104330436
19,12,26,45,0,1,4,65347.6397827883
16,8,52,53,0,1,1,51790.285891913176
15,33,54,38,1,0,1,82918.03579338046
13,16,48,27,0,0,4,57967.90695567827
17,26,31,29,0,1,4,72829.1426449367
17,28,24,63,1,0,3,93319.57259802309
12,36,31,44,0,0,0,87130.42140744643
20,21,48,20,0,0,4,78378.14769337856
17,23,54,45,0,0,0,68656.12600562711
14,6,39,19,0,1,2,44392.1097584471
15,33,56,45,1,1,0,91336.80439080346
15,11,20,48,1,1,4,58731.93929142704
14,22,35,60,0,0,1,66133.10831920666
14,14,49,38,1,1,1,60190.264580668416
14,32,28,24,1,1,4,94573.17782924403
15,12,29,48,1,0,3,55241.00519740206
18,22,32,31,1,0,4,83655.0765197938
15,37,39,56,1,0,4,97609.22122159325
20,31,48,56,1,1,3,98671.53051099615
12,34,23,26,1,1,3,83631.55815926817
19,0,47,40,1,0,2,45617.89523646814
18,4,56,29,0,1,2,52524.58908767114
13,12,32,46,0,1,2,57608.66398304919
19,4,22,55,0,0,3,57212.712932311224
12,31,56,56,0,0,0,86326.90008715965
